MAJOR  NFEV  NGEV           OBJFUN            GNORM            CNORM             FEAS              OPT             STEP 
    0     1     1     0.000000E+00     0.000000E+00     1.007995E+02     9.900000E+01     9.900000E+01     9.900000E+01 
    1     2     1     3.482505E+01     0.000000E+00     4.759917E+01     5.282117E+02     1.423868E+04     1.000000E+00 
    2     3     2     3.986120E+01     2.978922E+00     5.151701E+01     3.523770E+02     3.470980E+03     1.000000E+00 
    3     4     3     4.174732E+01     3.194191E+00     3.256630E+01     7.016094E+01     1.188137E+03     1.000000E+00 
    4     5     4     3.685159E+01     3.271985E+00     3.642116E+01     1.822995E+02     2.819151E+02     1.000000E+00 
    5     7     5     3.416759E+01     3.165203E+00     3.232812E+01     7.894438E+01     1.148580E+02     1.000000E+00 
    6     9     6     3.037360E+01     3.042815E+00     3.121242E+01     3.039947E+01     3.726013E+01     1.000000E+00 
    7    10     7     2.679723E+01     2.799512E+00     3.100211E+01     5.911143E+00     1.672593E+01     1.000000E+00 
    8    11     8     2.403560E+01     2.630498E+00     3.116013E+01     1.201474E+01     1.968532E+00     1.000000E+00 
    9    12     9     2.266818E+01     2.496442E+00     3.129997E+01     3.926932E+00     2.197289E+00     1.000000E+00 
   10    13    10     2.183760E+01     2.428154E+00     3.143624E+01     3.553883E+00     4.319220E-01     1.000000E+00 
   11    14    11     2.129999E+01     2.385749E+00     3.159744E+01     4.278267E+00     2.506293E-01     1.000000E+00 
   12    15    12     2.109778E+01     2.359226E+00     3.165914E+01     7.091465E-01     2.371746E-01     1.000000E+00 
   13    16    13     2.056745E+01     2.349278E+00     3.177505E+01     3.244089E+00     3.399051E-02     1.000000E+00 
   14    17    14     2.045702E+01     2.322711E+00     3.181970E+01     5.174348E-01     1.416588E-01     1.000000E+00 
   15    18    15     2.029665E+01     2.318905E+00     3.184212E+01     9.577512E-01     2.243445E-02     1.000000E+00 
   16    19    16     2.012493E+01     2.312891E+00     3.183277E+01     1.049823E+00     4.499644E-02     1.000000E+00 
   17    20    17     1.998476E+01     2.305520E+00     3.178303E+01     2.076692E+00     5.113763E-02     1.000000E+00 
   18    21    18     1.987844E+01     2.300317E+00     3.175119E+01     3.013431E-01     9.585270E-02     1.000000E+00 
   19    22    19     1.977668E+01     2.294996E+00     3.170580E+01     5.676061E-01     1.282873E-02     1.000000E+00 
   20    23    20     1.970049E+01     2.290112E+00     3.168132E+01     3.115991E-01     2.477812E-02     1.000000E+00 
   21    24    21     1.964855E+01     2.285891E+00     3.168158E+01     4.405969E-01     1.249349E-02     1.000000E+00 
   22    25    22     1.962537E+01     2.282758E+00     3.169987E+01     2.498044E-01     1.947563E-02     1.000000E+00 
   23    26    23     1.961013E+01     2.281281E+00     3.172150E+01     1.813068E-01     1.140390E-02     1.000000E+00 
   24    27    24     1.959968E+01     2.280466E+00     3.173431E+01     1.329710E-01     7.879303E-03     1.000000E+00 
   25    28    25     1.959016E+01     2.280125E+00     3.173353E+01     1.329605E-01     6.377811E-03     1.000000E+00 
   26    29    26     1.958230E+01     2.279879E+00     3.172378E+01     6.546622E-02     6.446964E-03     1.000000E+00 
   27    30    27     1.957797E+01     2.279606E+00     3.171274E+01     2.220307E-02     2.989775E-03     1.000000E+00 
   28    31    28     1.957510E+01     2.279393E+00     3.170204E+01     6.180226E-03     7.729449E-04     1.000000E+00 
   29    32    29     1.957368E+01     2.279130E+00     3.169585E+01     1.059097E-02     1.558169E-04     1.000000E+00 
   30    33    30     1.957305E+01     2.278843E+00     3.169516E+01     1.133658E-02     4.727468E-04     1.000000E+00 
   31    34    31     1.957245E+01     2.278634E+00     3.169573E+01     4.290748E-03     5.673364E-04     1.000000E+00 
   32    35    32     1.957197E+01     2.278510E+00     3.169529E+01     4.305590E-03     2.065727E-04     1.000000E+00 
   33    36    33     1.957134E+01     2.278401E+00     3.169194E+01     4.288663E-03     2.058700E-04     1.000000E+00 
   34    37    34     1.957075E+01     2.278298E+00     3.168587E+01     3.193527E-03     2.249225E-04     1.000000E+00 
   35    38    35     1.957045E+01     2.278243E+00     3.168026E+01     1.743396E-03     1.511434E-04     1.000000E+00 
   36    39    36     1.957022E+01     2.278238E+00     3.167533E+01     1.482056E-03     6.803903E-05     1.000000E+00 
   37    40    37     1.956987E+01     2.278239E+00     3.166804E+01     4.547192E-03     5.861955E-05     1.000000E+00 
   38    41    38     1.956954E+01     2.278225E+00     3.165753E+01     1.483910E-02     2.073205E-04     1.000000E+00 
   39    43    39     1.957020E+01     2.278201E+00     3.164662E+01     5.548835E-02     2.481625E-04     1.000000E+00 
   40    45    40     1.957112E+01     2.278174E+00     3.164155E+01     8.714838E-02     3.030363E-04     1.000000E+00 
   41    47    41     1.957139E+01     2.278145E+00     3.163911E+01     9.783619E-02     3.566354E-04     1.000000E+00 
   42    49    42     1.957131E+01     2.278115E+00     3.163695E+01     1.009464E-01     4.096968E-04     1.000000E+00 
   43    51    43     1.957119E+01     2.278085E+00     3.163442E+01     1.039254E-01     4.576134E-04     1.000000E+00 
   44    53    44     1.957111E+01     2.278056E+00     3.163146E+01     1.092047E-01     5.004528E-04     1.000000E+00 
   45    55    45     1.957111E+01     2.278027E+00     3.162810E+01     1.172962E-01     5.390382E-04     1.000000E+00 
   46    57    46     1.957119E+01     2.278000E+00     3.162444E+01     1.280765E-01     5.746182E-04     1.000000E+00 
   47    59    47     1.957134E+01     2.277973E+00     3.162055E+01     1.411653E-01     6.082053E-04     1.000000E+00 
   48    61    48     1.957152E+01     2.277947E+00     3.161652E+01     1.558135E-01     6.406883E-04     1.000000E+00 
   49    63    49     1.957171E+01     2.277921E+00     3.161245E+01     1.710031E-01     6.727397E-04     1.000000E+00 
   50    65    50     1.957187E+01     2.277895E+00     3.160842E+01     1.856097E-01     7.050662E-04     1.000000E+00 
   51    67    51     1.957191E+01     2.277869E+00     3.160453E+01     1.969934E-01     7.423843E-04     1.000000E+00 
   52    69    52     1.957182E+01     2.277843E+00     3.160081E+01     2.047028E-01     7.822911E-04     1.000000E+00 
   53    71    53     1.957161E+01     2.277816E+00     3.159732E+01     2.084425E-01     8.223756E-04     1.000000E+00 
   54    73    54     1.957127E+01     2.277789E+00     3.159411E+01     2.080287E-01     8.602058E-04     1.000000E+00 
   55    75    55     1.957082E+01     2.277762E+00     3.159121E+01     2.038944E-01     8.937945E-04     1.000000E+00 
   56    77    56     1.957027E+01     2.277736E+00     3.158864E+01     1.962599E-01     9.211110E-04     1.000000E+00 
   57    79    57     1.956963E+01     2.277710E+00     3.158640E+01     1.846545E-01     9.441367E-04     1.000000E+00 
   58    81    58     1.956890E+01     2.277683E+00     3.158447E+01     1.691348E-01     9.639075E-04     1.000000E+00 
   59    83    59     1.956810E+01     2.277656E+00     3.158284E+01     1.506652E-01     9.794869E-04     1.000000E+00 
   60    85    60     1.956728E+01     2.277628E+00     3.158147E+01     1.304150E-01     9.893497E-04     1.000000E+00 
   61    87    61     1.956646E+01     2.277600E+00     3.158033E+01     1.089014E-01     9.912390E-04     1.000000E+00 
   62    89    62     1.956566E+01     2.277571E+00     3.157939E+01     8.710939E-02     9.828227E-04     1.000000E+00 
   63    91    63     1.956492E+01     2.277542E+00     3.157863E+01     6.587952E-02     9.609630E-04     1.000000E+00 
   64    93    64     1.956425E+01     2.277512E+00     3.157803E+01     4.598456E-02     9.214985E-04     1.000000E+00 
   65    95    65     1.956367E+01     2.277480E+00     3.157755E+01     2.823639E-02     8.562370E-04     1.000000E+00 
   66    97    66     1.956319E+01     2.277445E+00     3.157719E+01     1.356159E-02     7.504997E-04     1.000000E+00 
   67    98    67     1.956277E+01     2.277392E+00     3.157692E+01     2.052802E-04     7.500629E-04     1.000000E+00 
   68    99    68     1.956261E+01     2.277361E+00     3.157978E+01     2.033800E-03     1.054024E-05     1.000000E+00 
