MAJOR  NFEV  NGEV           OBJFUN            GNORM            CNORM             FEAS              OPT             STEP 
    0     1     1     0.000000E+00     0.000000E+00     6.200365E+01     9.900000E+01     9.900000E+01     9.900000E+01 
    1     2     1     3.562959E+00     0.000000E+00     3.452693E+01     2.601621E+02     8.833128E+02     1.000000E+00 
    2     3     2     1.640827E+01     9.289277E-01     3.449282E+02     2.398697E+03     1.011670E+03     1.000000E+00 
    3     5     3     1.838673E+01     9.919551E-01     2.715717E+02     1.929402E+03     6.932483E+02     1.000000E+00 
    4     7     4     2.034420E+01     1.059336E+00     1.543861E+01     1.096310E+02     4.297380E+02     1.000000E+00 
    5     8     5     2.630001E+01     2.276434E+00     1.176203E+01     7.594605E+01     3.586515E+02     1.000000E+00 
    6     9     6     2.147758E+01     2.608621E+00     5.446647E+00     2.405181E+01     1.868792E+02     1.000000E+00 
    7    10     7     2.381047E+01     2.352343E+00     3.920335E+00     1.547852E+01     6.863063E+01     1.000000E+00 
    8    11     8     2.179280E+01     2.483975E+00     9.341055E-02     5.984105E-01     2.128135E+01     1.000000E+00 
    9    12     9     1.881780E+01     2.377538E+00     3.056270E-01     2.063127E+00     3.717298E-01     1.000000E+00 
   10    13    10     1.442196E+01     2.211323E+00     2.235141E+00     1.457627E+01     7.908221E-01     1.000000E+00 
   11    15    11     1.336759E+01     2.058785E+00     2.015117E+00     1.243380E+01     9.279329E-01     1.000000E+00 
   12    16    12     1.250272E+01     1.869292E+00     4.881817E-01     2.929386E+00     1.948057E+00     1.000000E+00 
   13    17    13     1.155091E+01     1.808712E+00     9.626348E-01     5.544697E+00     3.242489E-01     1.000000E+00 
   14    18    14     1.075096E+01     1.740124E+00     1.227545E+00     7.648500E+00     4.899703E-01     1.000000E+00 
   15    19    15     1.009727E+01     1.680718E+00     3.390253E-01     2.382161E+00     5.479729E-01     1.000000E+00 
   16    20    16     9.312187E+00     1.629992E+00     7.898413E-01     5.694790E+00     1.357887E-01     1.000000E+00 
   17    21    17     8.842617E+00     1.567181E+00     3.268922E-01     1.998644E+00     2.601743E-01     1.000000E+00 
   18    22    18     8.539687E+00     1.528572E+00     1.580047E-01     8.349221E-01     8.340177E-02     1.000000E+00 
   19    23    19     8.372492E+00     1.503418E+00     6.580169E-02     3.355957E-01     3.549960E-02     1.000000E+00 
   20    24    20     8.180325E+00     1.489652E+00     1.339856E-01     8.295601E-01     1.315618E-02     1.000000E+00 
   21    25    21     8.009766E+00     1.473667E+00     2.287876E-01     1.493617E+00     2.997706E-02     1.000000E+00 
   22    26    22     7.957704E+00     1.459178E+00     8.419295E-02     4.823059E-01     5.759362E-02     1.000000E+00 
   23    27    23     7.934123E+00     1.454707E+00     1.868229E-02     1.056596E-01     1.995468E-02     1.000000E+00 
   24    28    24     7.903801E+00     1.452650E+00     1.139137E-02     4.691832E-02     4.105236E-03     1.000000E+00 
   25    29    25     7.875009E+00     1.449987E+00     2.883515E-02     1.515486E-01     1.906771E-03     1.000000E+00 
   26    30    26     7.860351E+00     1.447440E+00     2.945770E-02     1.451943E-01     4.620360E-03     1.000000E+00 
   27    31    27     7.855602E+00     1.446117E+00     8.379108E-03     4.243208E-02     4.784854E-03     1.000000E+00 
   28    32    28     7.851003E+00     1.445683E+00     4.651616E-03     2.432552E-02     1.570286E-03     1.000000E+00 
   29    33    29     7.843785E+00     1.445225E+00     9.511479E-03     4.951674E-02     9.130691E-04     1.000000E+00 
   30    34    30     7.835944E+00     1.444403E+00     1.122617E-02     5.817949E-02     1.813076E-03     1.000000E+00 
   31    35    31     7.830033E+00     1.443354E+00     5.277808E-03     2.457773E-02     2.014356E-03     1.000000E+00 
   32    36    32     7.826918E+00     1.442476E+00     1.469541E-03     6.563952E-03     7.845967E-04     1.000000E+00 
   33    37    33     7.823984E+00     1.442006E+00     1.627356E-03     8.185402E-03     2.121873E-04     1.000000E+00 
   34    38    34     7.819824E+00     1.441591E+00     6.490523E-03     3.298253E-02     2.584100E-04     1.000000E+00 
   35    39    35     7.815738E+00     1.441020E+00     1.288996E-02     6.521181E-02     1.154494E-03     1.000000E+00 
   36    40    36     7.813447E+00     1.440471E+00     6.862649E-03     3.368599E-02     2.498558E-03     1.000000E+00 
   37    41    37     7.812697E+00     1.440195E+00     1.089660E-03     5.282745E-03     1.381629E-03     1.000000E+00 
   38    42    38     7.812053E+00     1.440122E+00     4.458633E-04     2.433676E-03     2.228232E-04     1.000000E+00 
   39    43    39     7.811028E+00     1.440054E+00     9.051031E-04     5.321000E-03     9.540479E-05     1.000000E+00 
   40    44    40     7.809883E+00     1.439919E+00     1.309103E-03     8.403897E-03     2.035231E-04     1.000000E+00 
   41    45    41     7.808955E+00     1.439731E+00     1.067993E-03     6.610020E-03     3.350595E-04     1.000000E+00 
